VBE	Ib(Q1)	Ic(Q1)
3.560000000000000e-01	3.371458e-10	6.778082e-08
3.570000000000000e-01	3.486807e-10	7.045126e-08
3.580000000000000e-01	3.606312e-10	7.322691e-08
3.590000000000000e-01	3.730129e-10	7.611193e-08
3.600000000000000e-01	3.858419e-10	7.911062e-08
3.610000000000000e-01	3.991351e-10	8.222746e-08
3.620000000000000e-01	4.129099e-10	8.546710e-08
3.630000000000000e-01	4.271844e-10	8.883438e-08
3.640000000000000e-01	4.419775e-10	9.233433e-08
3.650000000000000e-01	4.573085e-10	9.597219e-08
3.660000000000000e-01	4.731979e-10	9.975338e-08
3.670000000000000e-01	4.896666e-10	1.036835e-07
3.680000000000000e-01	5.067367e-10	1.077686e-07
3.690000000000000e-01	5.244307e-10	1.120145e-07
3.700000000000000e-01	5.427722e-10	1.164278e-07
3.710000000000000e-01	5.617858e-10	1.210149e-07
3.720000000000000e-01	5.814970e-10	1.257828e-07
3.730000000000000e-01	6.019319e-10	1.307385e-07
3.740000000000000e-01	6.231184e-10	1.358895e-07
3.750000000000000e-01	6.450847e-10	1.412435e-07
3.760000000000000e-01	6.678604e-10	1.468083e-07
3.770000000000000e-01	6.914763e-10	1.525925e-07
3.780000000000000e-01	7.159645e-10	1.586045e-07
3.790000000000000e-01	7.413579e-10	1.648534e-07
3.800000000000000e-01	7.676910e-10	1.713486e-07
3.810000000000000e-01	7.949998e-10	1.780996e-07
3.820000000000000e-01	8.233212e-10	1.851166e-07
3.830000000000000e-01	8.526940e-10	1.924101e-07
3.840000000000000e-01	8.831583e-10	1.999910e-07
3.850000000000000e-01	9.147555e-10	2.078705e-07
3.860000000000000e-01	9.475292e-10	2.160605e-07
3.870000000000000e-01	9.815242e-10	2.245732e-07
3.880000000000000e-01	1.016787e-09	2.334213e-07
3.890000000000000e-01	1.053367e-09	2.426180e-07
3.900000000000000e-01	1.091313e-09	2.521770e-07
3.910000000000000e-01	1.130678e-09	2.621127e-07
3.920000000000000e-01	1.171517e-09	2.724399e-07
3.930000000000000e-01	1.213886e-09	2.831739e-07
3.940000000000000e-01	1.257844e-09	2.943309e-07
3.950000000000000e-01	1.303451e-09	3.059274e-07
3.960000000000000e-01	1.350772e-09	3.179809e-07
3.970000000000000e-01	1.399871e-09	3.305092e-07
3.980000000000000e-01	1.450817e-09	3.435312e-07
3.990000000000000e-01	1.503681e-09	3.570662e-07
4.000000000000000e-01	1.558537e-09	3.711346e-07
4.010000000000000e-01	1.615461e-09	3.857572e-07
4.020000000000000e-01	1.674534e-09	4.009559e-07
4.030000000000000e-01	1.735837e-09	4.167535e-07
4.040000000000000e-01	1.799456e-09	4.331735e-07
4.050000000000000e-01	1.865482e-09	4.502404e-07
4.060000000000000e-01	1.934006e-09	4.679798e-07
4.070000000000000e-01	2.005125e-09	4.864181e-07
4.080000000000000e-01	2.078939e-09	5.055829e-07
4.090000000000000e-01	2.155553e-09	5.255027e-07
4.100000000000000e-01	2.235073e-09	5.462074e-07
4.110000000000000e-01	2.317613e-09	5.677279e-07
4.120000000000000e-01	2.403288e-09	5.900963e-07
4.130000000000000e-01	2.492221e-09	6.133459e-07
4.140000000000000e-01	2.584537e-09	6.375117e-07
4.150000000000000e-01	2.680367e-09	6.626295e-07
4.160000000000000e-01	2.779847e-09	6.887370e-07
4.170000000000000e-01	2.883118e-09	7.158731e-07
4.180000000000000e-01	2.990327e-09	7.440783e-07
4.190000000000000e-01	3.101626e-09	7.733948e-07
4.200000000000000e-01	3.217175e-09	8.038664e-07
4.210000000000000e-01	3.337136e-09	8.355385e-07
4.220000000000000e-01	3.461682e-09	8.684585e-07
4.230000000000000e-01	3.590990e-09	9.026756e-07
4.240000000000000e-01	3.725245e-09	9.382408e-07
4.250000000000000e-01	3.864639e-09	9.752072e-07
4.260000000000000e-01	4.009372e-09	1.013630e-06
4.270000000000000e-01	4.159649e-09	1.053567e-06
4.280000000000000e-01	4.315687e-09	1.095077e-06
4.290000000000000e-01	4.477710e-09	1.138223e-06
4.300000000000000e-01	4.645950e-09	1.183068e-06
4.310000000000000e-01	4.820647e-09	1.229681e-06
4.320000000000000e-01	5.002055e-09	1.278130e-06
4.330000000000000e-01	5.190433e-09	1.328488e-06
4.340000000000000e-01	5.386052e-09	1.380829e-06
4.350000000000000e-01	5.589193e-09	1.435233e-06
4.360000000000000e-01	5.800151e-09	1.491781e-06
4.370000000000000e-01	6.019227e-09	1.550556e-06
4.380000000000000e-01	6.246740e-09	1.611648e-06
4.390000000000000e-01	6.483017e-09	1.675146e-06
4.400000000000000e-01	6.728399e-09	1.741146e-06
4.410000000000000e-01	6.983241e-09	1.809746e-06
4.420000000000000e-01	7.247911e-09	1.881049e-06
4.430000000000000e-01	7.522792e-09	1.955161e-06
4.440000000000000e-01	7.808283e-09	2.032193e-06
4.450000000000000e-01	8.104797e-09	2.112260e-06
4.460000000000000e-01	8.412762e-09	2.195481e-06
4.470000000000000e-01	8.732627e-09	2.281982e-06
4.480000000000000e-01	9.064856e-09	2.371890e-06
4.490000000000000e-01	9.409929e-09	2.465340e-06
4.500000000000000e-01	9.768349e-09	2.562472e-06
4.510000000000000e-01	1.014064e-08	2.663431e-06
4.520000000000000e-01	1.052733e-08	2.768368e-06
4.530000000000000e-01	1.092900e-08	2.877439e-06
4.540000000000000e-01	1.134622e-08	2.990807e-06
4.550000000000000e-01	1.177960e-08	3.108642e-06
4.560000000000000e-01	1.222978e-08	3.231118e-06
4.570000000000000e-01	1.269741e-08	3.358420e-06
4.580000000000000e-01	1.318317e-08	3.490738e-06
4.590000000000000e-01	1.368777e-08	3.628268e-06
4.600000000000000e-01	1.421195e-08	3.771217e-06
4.610000000000000e-01	1.475647e-08	3.919798e-06
4.620000000000000e-01	1.532212e-08	4.074232e-06
4.630000000000000e-01	1.590974e-08	4.234750e-06
4.640000000000000e-01	1.652018e-08	4.401591e-06
4.650000000000000e-01	1.715433e-08	4.575007e-06
4.660000000000000e-01	1.781313e-08	4.755253e-06
4.670000000000000e-01	1.849753e-08	4.942602e-06
4.680000000000000e-01	1.920853e-08	5.137330e-06
4.690000000000000e-01	1.994719e-08	5.339730e-06
4.700000000000000e-01	2.071457e-08	5.550104e-06
4.710000000000000e-01	2.151181e-08	5.768766e-06
4.720000000000000e-01	2.234007e-08	5.996042e-06
4.730000000000000e-01	2.320057e-08	6.232271e-06
4.740000000000000e-01	2.409457e-08	6.477806e-06
4.750000000000000e-01	2.502338e-08	6.733014e-06
4.760000000000000e-01	2.598837e-08	6.998276e-06
4.770000000000000e-01	2.699094e-08	7.273988e-06
4.780000000000000e-01	2.803258e-08	7.560561e-06
4.790000000000000e-01	2.911481e-08	7.858423e-06
4.800000000000000e-01	3.023922e-08	8.168019e-06
4.810000000000000e-01	3.140747e-08	8.489810e-06
4.820000000000000e-01	3.262127e-08	8.824279e-06
4.830000000000000e-01	3.388241e-08	9.171922e-06
4.840000000000000e-01	3.519274e-08	9.533260e-06
4.850000000000000e-01	3.655419e-08	9.908831e-06
4.860000000000000e-01	3.796877e-08	1.029920e-05
4.870000000000000e-01	3.943856e-08	1.070494e-05
4.880000000000000e-01	4.096571e-08	1.112667e-05
4.890000000000000e-01	4.255249e-08	1.156500e-05
4.900000000000000e-01	4.420122e-08	1.202061e-05
4.910000000000000e-01	4.591434e-08	1.249416e-05
4.920000000000000e-01	4.769437e-08	1.298636e-05
4.930000000000000e-01	4.954394e-08	1.349795e-05
4.940000000000000e-01	5.146576e-08	1.402969e-05
4.950000000000000e-01	5.346269e-08	1.458237e-05
4.960000000000000e-01	5.553766e-08	1.515682e-05
4.970000000000000e-01	5.769373e-08	1.575390e-05
4.980000000000000e-01	5.993408e-08	1.637450e-05
4.990000000000000e-01	6.226202e-08	1.701953e-05
5.000000000000000e-01	6.468100e-08	1.768998e-05
5.010000000000000e-01	6.719456e-08	1.838682e-05
5.020000000000000e-01	6.980644e-08	1.911112e-05
5.030000000000000e-01	7.252049e-08	1.986393e-05
5.040000000000000e-01	7.534070e-08	2.064640e-05
5.050000000000000e-01	7.827126e-08	2.145968e-05
5.060000000000000e-01	8.131649e-08	2.230498e-05
