vce	Ic(Q1)
3.450000000000000e-01	1.228504e-03
3.460000000000000e-01	1.228536e-03
3.470000000000000e-01	1.228568e-03
3.480000000000000e-01	1.228599e-03
3.490000000000000e-01	1.228629e-03
3.500000000000000e-01	1.228659e-03
3.510000000000000e-01	1.228688e-03
3.520000000000000e-01	1.228717e-03
3.530000000000000e-01	1.228745e-03
3.540000000000000e-01	1.228773e-03
3.550000000000000e-01	1.228800e-03
3.560000000000000e-01	1.228827e-03
3.570000000000000e-01	1.228853e-03
3.580000000000000e-01	1.228879e-03
3.590000000000000e-01	1.228904e-03
3.600000000000000e-01	1.228929e-03
3.610000000000000e-01	1.228954e-03
3.620000000000000e-01	1.228978e-03
3.630000000000000e-01	1.229002e-03
3.640000000000000e-01	1.229025e-03
3.650000000000000e-01	1.229048e-03
3.660000000000000e-01	1.229071e-03
3.670000000000000e-01	1.229093e-03
3.680000000000000e-01	1.229115e-03
3.690000000000000e-01	1.229137e-03
3.700000000000000e-01	1.229158e-03
3.710000000000000e-01	1.229179e-03
3.720000000000000e-01	1.229200e-03
3.730000000000000e-01	1.229220e-03
3.740000000000000e-01	1.229240e-03
3.750000000000000e-01	1.229260e-03
3.760000000000000e-01	1.229280e-03
3.770000000000000e-01	1.229299e-03
3.780000000000000e-01	1.229318e-03
3.790000000000000e-01	1.229337e-03
3.800000000000000e-01	1.229356e-03
3.810000000000000e-01	1.229374e-03
3.820000000000000e-01	1.229392e-03
3.830000000000000e-01	1.229410e-03
3.840000000000000e-01	1.229428e-03
3.850000000000000e-01	1.229446e-03
3.860000000000000e-01	1.229463e-03
3.870000000000000e-01	1.229480e-03
3.880000000000000e-01	1.229497e-03
3.890000000000000e-01	1.229514e-03
3.900000000000000e-01	1.229531e-03
3.910000000000000e-01	1.229547e-03
3.920000000000000e-01	1.229563e-03
3.930000000000000e-01	1.229579e-03
3.940000000000000e-01	1.229596e-03
3.950000000000000e-01	1.229611e-03
3.960000000000000e-01	1.229627e-03
3.970000000000000e-01	1.229643e-03
3.980000000000000e-01	1.229658e-03
3.990000000000000e-01	1.229673e-03
4.000000000000000e-01	1.229688e-03
4.010000000000000e-01	1.229703e-03
4.020000000000000e-01	1.229718e-03
4.030000000000000e-01	1.229733e-03
4.040000000000000e-01	1.229748e-03
4.050000000000000e-01	1.229762e-03
4.060000000000000e-01	1.229777e-03
4.070000000000000e-01	1.229791e-03
4.080000000000000e-01	1.229805e-03
4.090000000000000e-01	1.229819e-03
4.100000000000000e-01	1.229834e-03
4.110000000000000e-01	1.229848e-03
4.120000000000000e-01	1.229861e-03
4.130000000000000e-01	1.229875e-03
4.140000000000000e-01	1.229889e-03
4.150000000000000e-01	1.229902e-03
4.160000000000000e-01	1.229916e-03
4.170000000000000e-01	1.229930e-03
4.180000000000000e-01	1.229943e-03
4.190000000000000e-01	1.229956e-03
4.200000000000000e-01	1.229969e-03
4.210000000000000e-01	1.229983e-03
4.220000000000000e-01	1.229996e-03
4.230000000000000e-01	1.230009e-03
4.240000000000000e-01	1.230022e-03
4.250000000000000e-01	1.230035e-03
4.260000000000000e-01	1.230048e-03
4.270000000000000e-01	1.230060e-03
4.280000000000000e-01	1.230073e-03
4.290000000000000e-01	1.230086e-03
4.300000000000000e-01	1.230098e-03
4.310000000000000e-01	1.230111e-03
4.320000000000000e-01	1.230123e-03
4.330000000000000e-01	1.230136e-03
4.340000000000000e-01	1.230148e-03
4.350000000000000e-01	1.230161e-03
4.360000000000000e-01	1.230173e-03
4.370000000000000e-01	1.230185e-03
4.380000000000000e-01	1.230198e-03
4.390000000000000e-01	1.230210e-03
4.400000000000000e-01	1.230222e-03
4.410000000000000e-01	1.230234e-03
4.420000000000000e-01	1.230246e-03
4.430000000000000e-01	1.230258e-03
4.440000000000000e-01	1.230270e-03
4.450000000000000e-01	1.230282e-03
4.460000000000000e-01	1.230294e-03
4.470000000000000e-01	1.230306e-03
4.480000000000000e-01	1.230318e-03
4.490000000000000e-01	1.230330e-03
4.500000000000000e-01	1.230342e-03
4.510000000000000e-01	1.230354e-03
4.520000000000000e-01	1.230366e-03
4.530000000000000e-01	1.230377e-03
4.540000000000000e-01	1.230389e-03
4.550000000000000e-01	1.230401e-03
4.560000000000000e-01	1.230413e-03
4.570000000000000e-01	1.230424e-03
4.580000000000000e-01	1.230436e-03
4.590000000000000e-01	1.230447e-03
4.600000000000000e-01	1.230459e-03
